id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated;;;;;;;;;;;;;;;;
119;QSAR002;KEU2QSAR002119;KATBR001;Sarung Tangan;Latex Hitam;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
120;QSAR001;KEU2QSAR001120;KATBR001;Sarung Tangan;Proyek;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
121;QSPI002;KEU2QSPI002121;KATBR001;Spidol Board Marker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
122;QSPI001;KEU2QSPI001122;KATBR001;Spidol Board Marker;Biru;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
123;QSPI004;KEU2QSPI004123;KATBR001;Spidol Marker;Hitam;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
124;QSPI003;KEU2QSPI003124;KATBR001;Spidol Marker;Biru;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
125;QSPI005;KEU2QSPI005125;KATBR002;Spidol Marker Jumbo;Merah ;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
126;QSSD001;KEU2QSSD001126;KATBR002;SSD 128 Gb;Venom 128 Gb;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
127;QSSD002;KEU2QSSD002127;KATBR001;SSD 128 Gb;Visipro 128 Gb;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
128;QSTA001;KEU2QSTA001128;KATBR001;Stampad;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
129;QSTA002;KEU2QSTA002129;KATBR001;Staples;Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
130;QSTA003;KEU2QSTA003130;KATBR002;Staples;Kecil;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
131;QSTA004;KEU2QSTA001131;KATBR002;Stater;;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
132;QSTI002;KEU2QSTI002132;KATBR002;Stiky Note;Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
133;QSTI001;KEU2QSTI001133;KATBR002;Stiky Note;Kecil;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
134;QSUL001;KEU2QSUL001134;KATBR002;Sulak ;Besar;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
135;QSUP002;KEU2QSUP002135;KATBR001;Super Pell;770 ml Lemon;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pcs;2;;;;;;;
136;QSUP001;KEU2QSUP001136;KATBR001;Super Pell;770 ml Apple;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
137;QSWA001;KEU2QSWA001137;KATBR002;Swallow Toilet Colour Ball;;11;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pack;11;;;;;;;
138;QTHI001;KEU2QTHI001138;KATBR002;Thiner;1L;18;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;pack;11;;;;;;;
139;QTIM001;KEU2QTIM001139;KATBR002;Timah;;4;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;kaleng;18;;;;;;;
140;QTIN004;KEU2QTIN004140;KATBR002;Tinta Epson;Hitam;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;roll;4;;;;;;;
141;QTIN003;KEU2QTIN003141;KATBR001;Tinta Epson;Merah;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR002;;btl;1;;;;;;;
142;QTIN001;KEU2QTIN001142;KATBR001;Tinta Epson;Kuning;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;btl;1;;;;;;;
143;QTIN002;KEU2QTIN002143;KATBR001;Tinta Epson;Biru;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;btl;1;;;;;;;
144;QTIP001;KEU2QTIP001144;KATBR001;TipeX;Kertas;2;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;btl;1;;;;;;;
145;QTIP002;KEU2QTIP002145;KATBR001;TipeX;Cair;1;Karisma.png;;;KEU02;14/10/2024;KEU02;;;;;;KATBR001;;pcs;2;;;;;;;
