id_brg_nk;kd_barang;kd_br_adm;kat_barang;nama_barang;descnk;satuan;gbr_barang;qrcode_path;qrcode_data;inputer;create_at;last_updated
75;QKRE010;KEU2QKRE01075;KATBR001;Kresek ;Hitam 24 cm;9;Karisma.png;;;KEU02;14/10/2024;KEU02
76;QKRE009;KEU2QKRE00976;KATBR001;Kresek ;Hitam 15 cm;9;Karisma.png;;;KEU02;14/10/2024;KEU02
77;QKRE005;KEU2QKRE00577;KATBR001;Kresek ;28 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02
78;QKRE008;KEU2QKRE00878;KATBR001;Kresek ;Merah Jumbo;11;Karisma.png;;;KEU02;14/10/2024;KEU02
79;QKRE006;KEU2QKRE00679;KATBR002;Kresek ;40 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02
80;QKRE004;KEU2QKRE00480;KATBR001;Kresek ;24 cm;11;Karisma.png;;;KEU02;14/10/2024;KEU02
81;QKRE007;KEU2QKRE00781;KATBR002;Kresek ;Kuning Jumbo;11;Karisma.png;;;KEU02;14/10/2024;KEU02
82;QKRE003;KEU2QKRE00382;KATBR002;Kresek ;Kecil;11;Karisma.png;;;KEU02;14/10/2024;KEU02
83;QKRE001;KEU2QKRE00183;KATBR002;Kresek ;Hitam Sampah;21;Karisma.png;;;KEU02;14/10/2024;KEU02
84;QKUA002;KEU2QKUA00284;KATBR002;Kuas;1 dim;2;Karisma.png;;;KEU02;14/10/2024;KEU02
85;QKUA001;KEU2QKUA00185;KATBR002;Kuas;4 dim;2;Karisma.png;;;KEU02;14/10/2024;KEU02
86;QLAK003;KEU2QLAK00386;KATBR002;Lakban;Kuning;2;Karisma.png;;;KEU02;14/10/2024;KEU02
87;QLAK002;KEU2QLAK00287;KATBR002;Lakban;Fragile;2;Karisma.png;;;KEU02;14/10/2024;KEU02
88;QLAK002;KEU2QLAK00288;KATBR002;Lakban;Bening;2;Karisma.png;;;KEU02;14/10/2024;KEU02
89;QLAK001;KEU2QLAK00189;KATBR002;Lakban;Coklat;2;Karisma.png;;;KEU02;14/10/2024;KEU02
90;QLAM002;KEU2QLAM00290;KATBR002;Lampu Hannochs ;25 Watt Sonic;2;Karisma.png;;;KEU02;14/10/2024;KEU02
91;QLAM004;KEU2QLAM00491;KATBR001;Lampu Hannochs ;15 Watt Sonic;2;Karisma.png;;;KEU02;14/10/2024;KEU02
92;QLAM003;KEU2QLAM00392;KATBR001;Lampu Hannochs ;9 Watt Sonic;2;Karisma.png;;;KEU02;14/10/2024;KEU02
93;QLAM001;KEU2QLAM00193;KATBR001;Lampu Hannochs ;12 Watt;2;Karisma.png;;;KEU02;14/10/2024;KEU02
94;QLAM005;KEU2QLAM00594;KATBR001;Lampu Philips;TL 36 Watt;2;Karisma.png;;;KEU02;14/10/2024;KEU02
95;QLAP001;KEU2QLAP00195;KATBR001;Laptop;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
96;QLEM002;KEU2QLEM00296;KATBR001;Lem;Gorilla Wood Glue;1;Karisma.png;;;KEU02;14/10/2024;KEU02
97;QLEM001;KEU2QLEM00197;KATBR001;Lem;Castol;2;Karisma.png;;;KEU02;14/10/2024;KEU02
98;QMAP001;KEU2QMAP00198;KATBR001;Map ;L bening;2;Karisma.png;;;KEU02;14/10/2024;KEU02
99;QMAS001;KEU2QMAS00199;KATBR001;Masker;;2;Karisma.png;;;KEU02;14/10/2024;KEU02
100;QMOT001;KEU2QMOT001100;KATBR001;Motherboard PC;MOBO AFOX B250;2;Karisma.png;;;KEU02;14/10/2024;KEU02
101;QPAK001;KEU2QPAK001101;KATBR001;Paku;;9;Karisma.png;;;KEU02;14/10/2024;KEU02
102;QPAP002;KEU2QPAP002102;KATBR001;Papan Clipboard;Alas Ujian;2;Karisma.png;;;KEU02;14/10/2024;KEU02
103;QPAP001;KEU2QPAP001103;KATBR001;Paperclip;No. 5;17;Karisma.png;;;KEU02;14/10/2024;KEU02
104;QPAS001;KEU2QPAS001104;KATBR001;Pasta;;17;Karisma.png;;;KEU02;14/10/2024;KEU02
105;QPEN001;KEU2QPEN001105;KATBR002;Penghapus;Faber Castel;2;Karisma.png;;;KEU02;14/10/2024;KEU02
